,adj_close,high,low,volume,Real Lower Band,Real Middle Band,Real Upper Band,EMA,SlowD,SlowK,RSI,Chaikin A/D,OBV,Aroon Down,Aroon Up
2008-08-26,22.0604,174.88,172.6101,15912500.0,153.7392,169.6675,185.5958,171.8079,46.944,44.0479,53.2587,1577855828.5881,2109117755.0,0.0,42.8571
2008-08-27,22.1912,175.76,172.1909,17063600.0,155.0002,170.407,185.8138,172.0804,40.2559,33.5616,54.514,1584497011.7323,2126181355.0,0.0,35.7143
2008-08-28,22.0731,176.25,172.75,15406600.0,156.6155,171.1465,185.6775,172.2385,39.3212,40.3539,53.1266,1577806145.4466,2110774755.0,0.0,28.5714
2008-08-29,21.5382,173.5,169.0401,21403200.0,158.8268,171.79,184.7532,171.9805,35.0777,31.3175,47.2627,1561105036.3814,2089371555.0,100.0,21.4286
2008-09-02,21.1139,173.5,165.0,27884400.0,162.2526,172.438,182.6234,171.4291,29.7781,17.663,43.1898,1541028268.3814,2061487155.0,100.0,14.2857
2008-09-03,21.2117,168.68,164.0,26244100.0,163.7259,172.754,181.7821,171.0034,20.9419,13.8453,44.3798,1547981833.3387,2087731255.0,100.0,7.1429
2008-09-04,20.4825,167.9125,160.81,26549500.0,162.9434,172.6055,182.2676,170.0717,14.6579,12.4655,37.9912,1524497534.3242,2061181755.0,100.0,0.0
2008-09-05,20.3503,162.4,157.65,28103000.0,162.0537,172.436,182.8183,169.1296,13.5237,14.2603,36.9532,1526331624.8506,2033078755.0,100.0,0.0
2008-09-08,20.0632,164.89,151.4585,37356400.0,159.7336,171.8545,183.9754,168.062,14.2345,15.9776,34.7325,1524917357.6875,1995722355.0,100.0,0.0
2008-09-09,19.2704,159.96,149.79,44465200.0,155.829,170.7605,185.692,166.5018,16.2218,18.4275,29.467,1496979046.1831,1951257155.0,100.0,21.4286
2008-09-10,19.2615,154.99,148.8,34755100.0,152.686,169.5045,186.323,165.0836,17.4709,18.0076,29.4131,1493778657.3301,1916502055.0,100.0,14.2857
2008-09-11,19.3937,152.99,146.0,34683400.0,150.4694,168.172,185.8746,163.8994,18.8019,19.9705,31.4191,1525087992.6663,1951185455.0,100.0,7.1429
2008-09-12,18.9223,150.9099,146.5,28322400.0,147.8575,166.653,185.4485,162.4747,19.9338,21.8233,28.3265,1528107190.435,1922863055.0,92.8571,0.0
2008-09-15,17.8323,147.69,140.36,32879800.0,143.3781,164.884,186.3899,160.3686,19.5721,16.9225,22.7495,1495227390.435,1889983255.0,100.0,21.4286
2008-09-16,17.7713,142.5,132.15,42851300.0,139.5955,163.1085,186.6215,158.4173,18.4051,16.4693,22.4829,1516383925.9905,1847131955.0,100.0,14.2857
